iati_id,iati_orga_id,orga_abbreviation,client,orga_full_name
DE-1-201931690-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931724-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931906-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932011-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932029-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932037-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932060-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932235-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932391-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932490-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932524-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932631-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932649-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201806009-3210,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201806009-3357,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201806009-3779,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201822097,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-201822121,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-201830249-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201830256-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201830876-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201831726-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201832203-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201868587,DE-1,kfw,BMZ,Kreditanstalt für Wiederaufbau
DE-1-201876051-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201876069-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201876127-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201876218-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201906015-4365,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201906015-4407,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201910272-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931963-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932409-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932961-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201932979-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201974831-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201974948-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201975325-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201976141-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201976331-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201977131-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202006005-5013,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202006005-5316,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202006005-5323,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202021673,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-202021681,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-202021699,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-202030013-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202030823-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202031649-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202031730-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202033686-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202033785-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202033835-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202065092,DE-1,kfw,BMZ,Kreditanstalt für Wiederaufbau
DE-1-202067817,DE-1,kfw,BMZ,Kreditanstalt für Wiederaufbau
DE-1-202070266,DE-1,kfw,BMZ,Kreditanstalt für Wiederaufbau
DE-1-202070399,DE-1,kfw,BMZ,Kreditanstalt für Wiederaufbau
DE-1-202074722-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202075059-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202075067-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202076081-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202106003-5912,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202106003-6040,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202110161-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202132199-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202132637-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202173516-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202174993-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202177525-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202206001-6620,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202221158,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-202221174,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-202221182,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-202221190,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-202221893,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-202230837-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202231033-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202231710-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202231959-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202231991-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202233468-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202233922-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202249498-6741,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202276848-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202277200-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202330207-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202330215-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202331312-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202331767-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202333110-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202374551-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202375822-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202376176-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202376200-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-202376796-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201501659-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201501691-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201568344,DE-1,kfw,BMZ,Kreditanstalt für Wiederaufbau
DE-1-201668904,DE-1,kfw,BMZ,Kreditanstalt für Wiederaufbau
DE-1-201721828,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-201721836,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-201721901,DE-1,giz,BMZ,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
DE-1-201730951-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
